CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup
Fc1c[nH]c(=O)[nH]c1=O,5-Fluorouracil,26,33,,,0.23,0.25,,,0.64,0.69,,
[nH]1cnc(=S)c(c12)[nH]cn2,6-Mercaptopurine,15,,,15.2,1,,,0.9,0.85,,,
CO[C@@H]1[C@H](NC)C[C@@H](O2)n(c3c4n5[C@]12C)c6c(cccc6)c3c7c([C@@H](O)NC7=O)c4c8c5cccc8,7-Hydroxystaurosporine,0,65,10.2,,0.15,16.7,6.09,,0.0022,,0.0074,
C1OC(=O)[C@](O)(CC)c(c12)cc3n(c2=O)Cc4c3nc5c(c4)c(N)ccc5,9-Aminocamptothecin,6.5,150,,,2.2,5,,,0.003,,,
OC[C@@H]1C=C[C@@H](C1)n(cn2)c(c23)nc(N)nc3NC4CC4,Abacavir,13,30,,,0.84,,,,0.5,,,
CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C,Acecainide,4,28,6.4,,1.9,2.9,1.9,,0.9,0.58,0.9135,
Oc1ccc(cc1)NC(=O)C,Acetaminophen,5,15,4,7.3,1,0.92,0.58,,0.52,0.27,0.89,
O=S(=O)(N)c1sc(nn1)NC(=O)C,Acetazolamide,0.65,68,,,0.37,0.21,,,0.04,0.2,,
O=C(C)Oc1c(C(=O)O)cccc1,Acetylsalicylic Acid,12,87,,,0.22,0.4,,,0.68,,,
ClC1=NO[C@@H](C1)[C@H](N)C(=O)O,Acivicin,0.69,6.4,1.4,2.3,0.5,0.74,0.58,0.61,,,,
C1CCCN([C@H]12)C(C)=NC(=O)[C@]2(CCN(C(C)C)C(C)C)c3ccccc3,Actisomide,6.79,48,12,20,0.58,4.2,1.3,1.6,0.6954,0.63,0.618,0.6556
OCCOCn(cn1)c(c12)[nH]c(N)nc2=O,Acyclovir,4.7,6.7,6.1,8.8,0.71,0.7,0.98,0.9,0.85,0.19,0.67,
OP(=O)(O)COCCn(cn1)c(c12)ncnc2N,Adefovir,3.7,22,5.3,16,0.42,1.6,1.3,0.81,0.96,,,
CC(C)(C)NCC(O)c1cc(CO)c(O)cc1,Albuterol,7.8,97,32,,1.9,30,3.9,,0.92,0.05,0.05,
c1ccccc1N(C(=O)CC)C2(COC)CCN(CC2)CCn3nnn(c3=O)CC,Alfentanil,3.9,29,19,32,0.45,0.54,0.6,1.1,0.086,0.16,0.27,
n1cnc(=O)c(c12)c[nH][nH]2,Allopurinol,11,,0.97,,0.58,,0.16,,0.97,,,
C1CCCN1S(=O)(=O)Cc(cc2)cc(c23)c(c[nH]3)CCN(C)C,Almotriptan,8.9,55.8,28.52,40,2.2,2.7,3.98,2.61,0.6,0.72,0.73,0.6989
c1ccccc1C2=NCc(nnc3C)n3c(c24)ccc(Cl)c4,Alprazolam,0.74,133,,,0.8,2.7,,,0.29,0.35,,
NC12CC3CC(C1)CC(C2)C3,Amantadine,4.8,19,,,6.6,6.4,,,0.33,0.52,,
CN1CCN(CC1)c(c(F)c2)cc(c23)n(NC)cc(c3=O)C(=O)O,Amifloxacin,4.56,12,4.5,7.3,1.6,3.6,0.91,1.4,,,,
O[C@@H]1[C@@H](N)[C@H](O)[C@@H](CO)O[C@@H]1O[C@H]2[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@H]([C@@H]2O)O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O,Amikacin,1.1,5.4,3.5,,0.16,0.16,0.2,,0.88,,,
OC(=O)C1(N)CC1,Aminocyclopropanecarboxylic Acid,1.5,3.2,0.4,3.1,0.73,0.64,0.7,0.72,,,,
CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c(c(o2)CCCC)c(c23)cccc3,Amiodarone,1.9,25,29,,60,21,1.4,,0.0002,0.0001,0.0001,
c1cccc(c12)CCc3c(cccc3)C2=CCCN(C)C,Amitriptyline,6.1,71,,,8.7,11,,,0.07,0.11,,
Clc1ccccc1C2C(C(=O)OCC)=C(COCCN)NC(C)=C2C(=O)OC,Amlodipine,7,122,11,,17,32,25,,0.005,0.06,0.03,
OC(=O)[C@@H](C(S1)(C)C)N([C@H]12)C(=O)[C@H]2NC(=O)[C@H](N)c3ccc(O)cc3,Amoxicillin,3.3,17,3.4,,0.25,0.5,0.31,,0.85,0.82,0.66,
