Name,SMILES,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
?-hANP,N1[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)O)Cc2ccc(cc2)O)CCCNC(=N)N)Cc2ccccc2)CO)CC(=O)N)CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CO)CC(C)C)CCCNC(=N)N)CCCNC(=N)N)CO)CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)NCC1=O)CC(C)C)CO)CCC(=O)N)[C@@H](C)CC)CCCNC(=N)N)CC(=O)O)CCSC)CCCNC(=N)N)Cc1ccccc1,0.2,25.4,,0.13,0.22,3080.44,84,53,1403.4,75,cationic,-9,-9
(-)dOTC,c1cn(c(=O)nc1N)[C@H]2CO[C@H](S2)CO,1.18,3,,6.5,19.2,229.26,6,2,90.4,2,neutral,-1.9,-1.9
(+)dOTC,c1cn(c(=O)nc1N)[C@@H]2CO[C@@H](S2)CO,0.84,3.9,,3.6,8.92,229.26,6,2,90.4,2,neutral,-1.9,-1.9
"1,3-DCQA",O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c3ccc(O)c(O)c3)C(=O)O,0.79,8.7,,1.5,1.37,516.45,12,7,211.3,9,anionic,2.1,-1.6
16-acetyl gitoxin,C1([C@@H]2[C@@]3([C@@]([C@@H]4[C@@H]([C@@]5(CC[C@@H](O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O[C@@H]6O[C@@H](C)[C@@H]([C@@H](C6)O)O)C[C@@H]5CC4)C)CC3)(C[C@@H]2OC(=O)C)O)C)=CC(=O)OC1,0.78,8.7,0.07,72.3,51.6,822.98,15,5,209.1,9,neutral,0.93,0.93
1-Aminocyclopropanecarboxylic Acid,[H]N([H])C1(CC1)C(=O)O[H],0.73,1.5,,7.8,5.9,101.1,3,2,63.3,3,zwitterionic,-0.66,-2.4
"3,4-DCQA",C1[C@@](C[C@H]([C@H]([C@@H]1OC(\C=C\c1cc(c(cc1)O)O)=O)OC(\C=C\c1cc(c(cc1)O)O)=O)O)(C(=O)O)O,0.63,34.58,,0.3,0.57,516.45,12,7,211.3,9,anionic,2.6,-1
"3,5-DCQA",O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,4.82,75.81,,1.05,3.17,516.45,12,7,211.3,9,anionic,2.6,-1.1
3-O-demethylfortimicin A,N([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O[C@@H]2[C@@H](CC[C@@H](O2)[C@@H](C)N)N)[C@@H]1O)N)O)O)(C)C(CN)=O,0.27,1.37,,3.3,2.9,391.46,11,7,203.5,5,cationic,-5.1,-8.2
5-Hydroxymethyl tolterodine,CC(C)N(CC[C@H](C(C=CC=C1)=C1)C1C(=CC=C(C=1)CO)O)C(C)C,2.41,,0.5,,,341.49,3,2,43.7,8,cationic,4.1,0.67
852A,[H]N([H])c1c2c(c3ccccc3n1)n(CCCCN([H])S(C)(=O)=O)c(CC)n2,3.1,7.7,,4.7,7.1,361.46,7,2,102.9,8,cationic,2.3,1.8
Abacavir,Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1,0.84,13,0.5,1.1,1,286.33,7,3,101.9,4,neutral,0.99,0.99
Abanoquil,COc1cc2CCN(Cc2cc1OC)c3cc(N)c4cc(OC)c(OC)cc4n3,6.3,14,,7.6,5.9,395.45,7,1,79.1,5,cationic,3.5,1.2
Abexinostat,CN(C)Cc1c2ccccc2oc1C(=O)NCCOc3ccc(cc3)C(=O)NO,2.6,16.33,,2.65,5.9,397.42,8,3,104.3,8,neutral,2,1.7
ABP-700,COC(=O)C1(CC1)OC(=O)c2cncn2[C@H](C)c3ccccc3,,50.08,,,0.24,314.34,6,0,70.4,7,neutral,2,2
Acamprosate,OS(=O)(=O)CCCNC(=O)C,0.3,3.75,1,1.54,3.2,181.21,5,2,83.5,4,anionic,-1.7,-5.2
Acarbose,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]3C=C(CO)[C@@H](O)[C@H](O)[C@H]3O,0.32,2.2,,2.4,2.7,645.6,19,14,329,13,neutral,-9,-9
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C,1.7,10,0.74,2.8,3.5,336.43,6,3,87.7,10,cationic,1.6,-0.23
