CHEMISTRY,NAME,human_CL_mL_min_kg,rat_CL_mL_min_kg,dog_CL_mL_min_kg,monkey_CL_mL_min_kg,human_VDss_L_kg,rat_VDss_L_kg,dog_VDss_L_kg,monkey_VDss_L_kg,human_fup,rat_fup,dog_fup,monkey_fup,smiles_r,InChICode_standardised,molecular_weight_smiles_r
Fc1c[nH]c(=O)[nH]c1=O,5-Fluorouracil,26.0,33.0,,,0.23,0.25,,,0.64,0.69,,,O=c1[n-]cc(F)c(=O)[n-]1,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)/p-2",128.00330265182
[nH]1cnc(=S)c(c12)[nH]cn2,6-Mercaptopurine,15.0,,,15.2,1.0,,,0.9,0.85,,,,S=c1nc[n-]c2nc[n-]c12,"InChI=1S/C5H3N4S/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H-,6,7,8,9,10)/q-1/p-1",150.00111422382
CO[C@@H]1[C@H](NC)C[C@@H](O2)n(c3c4n5[C@]12C)c6c(cccc6)c3c7c([C@@H](O)NC7=O)c4c8c5cccc8,7-Hydroxystaurosporine,0.0,65.0,10.2,,0.15,16.7,6.09,,0.0022,,0.0074,,C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,"InChI=1S/C28H26N4O4/c1-28-25(35-3)15(29-2)12-18(36-28)31-16-10-6-4-8-13(16)19-21-22(27(34)30-26(21)33)20-14-9-5-7-11-17(14)32(28)24(20)23(19)31/h4-11,15,18,25,27,29,34H,12H2,1-3H3,(H,30,33)/p+1/t15-,18-,25-,27-,28+/m1/s1",483.20268176409
C1OC(=O)[C@](O)(CC)c(c12)cc3n(c2=O)Cc4c3nc5c(c4)c(N)ccc5,9-Aminocamptothecin,6.5,150.0,,,2.2,5.0,,,0.003,,,,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(N)cccc3nc2-1,"InChI=1S/C20H17N3O4/c1-2-20(26)13-7-16-17-10(6-11-14(21)4-3-5-15(11)22-17)8-23(16)18(24)12(13)9-27-19(20)25/h3-7,26H,2,8-9,21H2,1H3/t20-/m0/s1",363.12190602400005
OC[C@@H]1C=C[C@@H](C1)n(cn2)c(c23)nc(N)nc3NC4CC4,Abacavir,13.0,30.0,,,0.84,,,,0.5,,,,Nc1nc([NH2+]C2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,"InChI=1S/C14H18N6O/c15-14-18-12(17-9-2-3-9)11-13(19-14)20(7-16-11)10-4-1-8(5-10)6-21/h1,4,7-10,21H,2-3,5-6H2,(H3,15,17,18,19)/p+1/t8-,10+/m1/s1",287.16148564809004
CCN(CC)CCNC(=O)c1ccc(cc1)NC(=O)C,Acecainide,4.0,28.0,6.4,,1.9,2.9,1.9,,0.9,0.58,0.9135,,CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1,"InChI=1S/C15H23N3O2/c1-4-18(5-2)11-10-16-15(20)13-6-8-14(9-7-13)17-12(3)19/h6-9H,4-5,10-11H2,1-3H3,(H,16,20)(H,17,19)/p+1",278.18630342809
Oc1ccc(cc1)NC(=O)C,Acetaminophen,5.0,15.0,4.0,7.3,1.0,0.92,0.58,,0.52,0.27,0.89,,CC(=O)Nc1ccc([O-])cc1,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)/p-1",150.05605207591
O=S(=O)(N)c1sc(nn1)NC(=O)C,Acetazolamide,0.65,68.0,,,0.37,0.21,,,0.04,0.2,,,CC(=O)Nc1nnc(S(N)(=O)=O)s1,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",221.988132052
O=C(C)Oc1c(C(=O)O)cccc1,Acetylsalicylic Acid,12.0,87.0,,,0.22,0.4,,,0.68,,,,CC(=O)Oc1ccccc1C(=O)[O-],"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)/p-1",179.03498228391
ClC1=NO[C@@H](C1)[C@H](N)C(=O)O,Acivicin,0.69,6.4,1.4,2.3,0.5,0.74,0.58,0.61,,,,,[NH3+]C(C(=O)[O-])[C@@H]1CC(Cl)=NO1,"InChI=1S/C5H7ClN2O3/c6-3-1-2(11-8-3)4(7)5(9)10/h2,4H,1,7H2,(H,9,10)/t2-,4?/m0/s1",178.014519764
C1CCCN([C@H]12)C(C)=NC(=O)[C@]2(CCN(C(C)C)C(C)C)c3ccccc3,Actisomide,6.79,48.0,12.0,20.0,0.58,4.2,1.3,1.6,0.6954,0.63,0.618,0.6556,CC1=[NH+]C(=O)[C@](CC[NH+](C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12,"InChI=1S/C23H35N3O/c1-17(2)25(18(3)4)16-14-23(20-11-7-6-8-12-20)21-13-9-10-15-26(21)19(5)24-22(23)27/h6-8,11-12,17-18,21H,9-10,13-16H2,1-5H3/p+2/t21-,23-/m1/s1",371.29256564418
OCCOCn(cn1)c(c12)[nH]c(N)nc2=O,Acyclovir,4.7,6.7,6.1,8.8,0.71,0.7,0.98,0.9,0.85,0.19,0.67,,Nc1nc(=O)c2ncn(COCCO)c2[n-]1,"InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)/p-1",224.07891275991
OP(=O)(O)COCCn(cn1)c(c12)ncnc2N,Adefovir,3.7,22.0,5.3,16.0,0.42,1.6,1.3,0.81,0.96,,,,Nc1ncnc2c1ncn2CCOCP(=O)([O-])[O-],"InChI=1S/C8H12N5O4P/c9-7-6-8(11-3-10-7)13(4-12-6)1-2-17-5-18(14,15)16/h3-4H,1-2,5H2,(H2,9,10,11)(H2,14,15,16)/p-2",271.04813758982
CC(C)(C)NCC(O)c1cc(CO)c(O)cc1,Albuterol,7.8,97.0,32.0,,1.9,30.0,3.9,,0.92,0.05,0.05,,CC(C)(C)[NH2+]CC(O)c1ccc([O-])c(CO)c1,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",239.152143532
c1ccccc1N(C(=O)CC)C2(COC)CCN(CC2)CCn3nnn(c3=O)CC,Alfentanil,3.9,29.0,19.0,32.0,0.45,0.54,0.6,1.1,0.086,0.16,0.27,,CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,"InChI=1S/C21H32N6O3/c1-4-19(28)27(18-9-7-6-8-10-18)21(17-30-3)11-13-24(14-12-21)15-16-26-20(29)25(5-2)22-23-26/h6-10H,4-5,11-17H2,1-3H3/p+1",417.2608653360901
n1cnc(=O)c(c12)c[nH][nH]2,Allopurinol,11.0,,0.97,,0.58,,0.16,,0.97,,,,O=c1ncnc2[n-][n-]cc1-2,InChI=1S/C5H2N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H/q-2,134.02395784382
C1CCCN1S(=O)(=O)Cc(cc2)cc(c23)c(c[nH]3)CCN(C)C,Almotriptan,8.9,55.8,28.52,40.0,2.2,2.7,3.98,2.61,0.6,0.72,0.73,0.6989,C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)[NH+]3CCCC3)cc12,"InChI=1S/C17H25N3O2S/c1-19(2)10-7-15-12-18-17-6-5-14(11-16(15)17)13-23(21,22)20-8-3-4-9-20/h5-6,11-12,18H,3-4,7-10,13H2,1-2H3/p+2",337.18130094418
c1ccccc1C2=NCc(nnc3C)n3c(c24)ccc(Cl)c4,Alprazolam,0.74,133.0,,,0.8,2.7,,,0.29,0.35,,,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,"InChI=1S/C17H13ClN4/c1-11-20-21-16-10-19-17(12-5-3-2-4-6-12)14-9-13(18)7-8-15(14)22(11)16/h2-9H,10H2,1H3",308.082874096
NC12CC3CC(C1)CC(C2)C3,Amantadine,4.8,19.0,,,6.6,6.4,,,0.33,0.52,,,[NH3+]C12CC3CC(CC(C3)C1)C2,"InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2/p+1",152.14337599609
CN1CCN(CC1)c(c(F)c2)cc(c23)n(NC)cc(c3=O)C(=O)O,Amifloxacin,4.56,12.0,4.5,7.3,1.6,3.6,0.91,1.4,,,,,C[NH2+]n1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C)CC3)cc21,"InChI=1S/C16H19FN4O3/c1-18-21-9-11(16(23)24)15(22)10-7-12(17)14(8-13(10)21)20-5-3-19(2)4-6-20/h7-9,18H,3-6H2,1-2H3,(H,23,24)/p+1",335.15139514009
O[C@@H]1[C@@H](N)[C@H](O)[C@@H](CO)O[C@@H]1O[C@H]2[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@H]([C@@H]2O)O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O,Amikacin,1.1,5.4,3.5,,0.16,0.16,0.2,,0.88,,,,[NH3+]CCC(O)C(=O)N[C@@H]1C[C@H]([NH3+])[C@@H](O[C@H]2O[C@H](C[NH3+])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H]([NH3+])[C@H]1O,"InChI=1S/C22H43N5O13/c23-2-1-8(29)20(36)27-7-3-6(25)18(39-22-16(34)15(33)13(31)9(4-24)37-22)17(35)19(7)40-21-14(32)11(26)12(30)10(5-28)38-21/h6-19,21-22,28-35H,1-5,23-26H2,(H,27,36)/p+4/t6-,7+,8?,9+,10+,11-,12+,13+,14+,15-,16+,17-,18+,19-,21+,22+/m0/s1",589.3148422443599
OC(=O)C1(N)CC1,Aminocyclopropanecarboxylic Acid,1.5,3.2,0.4,3.1,0.73,0.64,0.7,0.72,,,,,[NH3+]C1(C(=O)[O-])CC1,"InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)",101.047678464
