smiles_r,human_VDss_L_kg,human_CL_mL_min_kg,human_fup,human_mrt,human_thalf,MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,molecular_weight_smiles_r
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1,1.0150000000000001,4.35,0.33,3.7,15.0,477.47,12.0,5.0,207.3,11.0,0.35,-6.0,475.1615139318199
C#CCCCC(=O)c1cc(C(C)(C)C)c([O-])c(C(C)(C)C)c1,12.0,8.9,,22.3,50.7,300.44,2.0,1.0,37.3,6.0,5.4,5.4,299.20165368391
C#CCN(Cc1cc2c(=O)nc(C)[n-]c2cc1C)c1ccc(C(=O)NC(CCc2nnn[n-]2)C(=O)[O-])c(F)c1,0.53,0.29,0.01,30.38,78.5,532.53,12.0,4.0,169.8,11.0,2.4,-2.6,529.1764501437301
C#CC[NH+](C)C(C)Cc1ccccc1,1.9,20.0,0.13,1.6,1.3,187.28,1.0,0.0,3.2,5.0,2.8,2.3,188.14337599609
C#C[C@@]1(O)[C@@H](CO)O[C@H](n2ccc(N)nc2=O)[C@@H]1O,1.1,1.6,,11.7,10.9,267.24,8.0,4.0,130.8,3.0,-3.2,-3.2,267.08552051600003
C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,0.46,0.8,0.023,9.6,10.0,310.43,2.0,1.0,37.3,2.0,4.1,4.1,310.193280072
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,2.87,2.0,0.02,23.6,25.0,324.46,2.0,1.0,37.3,2.0,4.0,4.0,324.208930136
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,1.5,1.8,0.025,14.0,9.4,312.45,2.0,1.0,37.3,2.0,3.5,3.5,312.208930136
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,5.18,15.71,,5.49,2.31,337.46,3.0,1.0,46.6,1.0,3.7,3.7,337.20417910400005
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)[O-])ccc4[C@H]3CC[C@@]21C,2.3,4.7,0.011,8.2,8.4,376.47,5.0,2.0,83.8,3.0,1.6,-1.9,375.12716841591003
